	0
252	0.1982
253	0.1812
254	0.1642
255	0.1642
256	0.3115
257	2.1804
258	0.4531
259	0.3115
260	0.4531
261	1.1893
262	1.7556
263	0.6513
264	0.8212
265	1.8972
266	0.2832
267	0.2832
268	0.2832
269	0.2832
270	0.2832
271	0.2832
272	0.2832
273	0.2832
274	0.2832
275	0.2832
276	0.2265
277	0.2265
278	0.2322
279	0.2322
280	0.1982
281	0.1982
282	0.1642
283	0.1642
284	0.3964
285	0.6513
286	0.3398
287	0.3115
288	0.4531
289	0.3398
290	0.3398
291	0.3115
292	0.1982
293	0.1642
294	0.1642
295	0.1359
296	0.1359
297	0.1359
298	0.1359
299	0.1359
300	0.1359
301	0.1076
302	0.1076
303	0.1076
304	0.1076
305	0.3398
306	0.5947
307	0.8212
308	0.5663
309	0.2718
310	0.1982
311	0.1359
312	0.1331
313	0.1274
314	0.1218
315	0.1161
316	0.1104
317	0.1076
318	0.085
319	0.085
320	0.085
321	0.085
322	0.085
323	0.085
324	0.085
325	0.1076
326	0.7362
327	0.6513
328	0.3115
329	0.1642
330	0.1812
331	0.1982
332	0.3115
333	0.1642
334	0.3964
335	0.623
336	0.8495
337	1.076
338	0.7646
339	0.4814
340	0.1642
341	0.1982
342	0.1982
343	0.1642
344	0.1359
345	0.1076
346	0.1076
347	0.1076
348	0.0991
349	0.0906
350	0.085
351	0.5097
352	0.2322
353	0.1982
354	0.1869
355	0.1756
356	0.1642
357	0.2322
358	0.3398
359	0.4531
360	0.5663
361	0.3964
362	0.1982
363	0.1812
364	0.1642
365	0.1642
366	0.1359
367	0.1529
368	0.1699
369	0.1869
370	0.2039
371	0.2152
372	0.2322
373	0.2124
374	0.1954
375	0.1756
376	0.1557
377	0.1359
378	0.1076
379	0.1076
380	0.1359
381	0.1359
382	0.1472
383	0.1699
384	0.1926
385	0.1557
386	0.1359
387	0.1218
388	0.1076
389	0.1019
390	0.0963
391	0.0906
392	0.085
393	0.2549
394	0.8495
395	0.5097
396	0.4248
397	0.623
398	0.3115
399	0.2265
400	0.1812
401	0.1529
402	0.2152
403	0.4248
404	0.7079
405	0.4248
406	0.623
407	0.7079
408	0.5663
409	0.4814
410	0.7929
411	0.3681
412	0.7079
413	0.5663
414	0.3398
415	0.4248
416	0.5097
417	0.2549
418	0.1699
419	0.2209
420	0.2322
421	0.3115
422	0.1642
423	0.1416
424	0.1671
425	0.1784
